id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
611671521596349509,NETFLIX & CHILL ON THIS COMFORTABLE QUEEN SOFA BED,68315959,Roudy,,West,40.72208,-74.24884,Private room,36,1,9,2022-09-22,3.7,5,352,9,
50764577,JUMA cheerful  2 /1 Bdrm quest house,407139876,Judy,,West,40.75597,-74.21838,Private room,79,1,1,2022-09-05,1,7,364,1,
50360759,Valisha's spot,278284348,Valisha,,West,40.73192,-74.22298,Private room,40,1,7,2022-02-03,0.48,1,92,4,
22481560,Private room with FREE parking,115315283,Karen,,East,40.66963,-74.12096,Private room,52,1,74,2022-09-03,1.28,1,26,6,
580044908103460021,Peaceful and friendly house stay in bayonne,449020896,Jovan,,East,40.66287,-74.12726,Shared room,71,14,0,,,1,362,0,
683973735857672380,Lovely 1 Bedroom Apartment with an Amazing View,462989905,Shawn,,West,40.76231,-74.22107,Entire home/apt,154,1,3,2022-09-24,3,1,349,3,
610820925416135174,Queen Size Bedroom with Private Bathroom & Laundry,15396592,Kai,,West,40.763847,-74.224121,Private room,95,1,0,,,1,89,0,
8592766,Private Spacious Room Near NYC/EWR,40071986,Christian,,South,40.679,-74.20025,Private room,67,1,376,2022-09-01,4.41,15,356,40,
29419522,Elegant Comfort Room Near EWR/NYC,40071986,Christian,,South,40.67926,-74.19995,Private room,45,1,58,2022-06-29,1.25,15,53,4,
683967196189736253,Beautiful room  in 5 floor good apartment.,472730189,Johan Sebastian,,East,40.67238,-74.10972,Private room,116,1,5,2022-09-19,5,1,333,5,
603795459102703960,Private bedroom #4 - Minutes from Newark Airport,386882814,Ana,,South,40.67745,-74.2031,Private room,65,1,20,2022-08-19,3.64,5,357,20,
49145883,F201_Beautiful Suite Near Newark Airport and NYC,341002720,Dani,,South,40.68141,-74.19885,Private room,66,1,36,2022-09-25,2.04,7,356,20,
27141941,Elegant Spacious Room Near EWR/NYC,40071986,Christian,,South,40.67818,-74.20145,Private room,55,1,114,2022-09-17,2.24,15,270,9,
664507611909260223,Backyard delightful for little events,163031055,Rosemeri,,North,40.7799632,-74.1364976,Entire home/apt,1800,1,0,,,2,364,0,
29457574,Blue Sky Near NYC/EWR/Jersey Gardens Outlet Mall,117830460,Geronides,,South,40.68104,-74.21062,Private room,75,1,113,2022-07-17,2.39,6,293,24,
50386933,Good Deal! Economy Room,40071986,Christian,,South,40.67889,-74.20129,Private room,45,1,10,2022-08-01,0.81,15,260,8,
50583160,Beautiful home in Maplewood and close to NYC,61948061,L. Theresa,,West,40.73063,-74.24719,Entire home/apt,141,1,27,2022-09-10,1.9,2,329,25,
42159133,"Private Room, Near LightRail station/Shops,Bayonne",326052427,Ben,,East,40.66475,-74.11672,Private room,59,2,3,2022-05-08,0.27,2,86,3,
42128024,Private room/ shared bathroom,308563234,Homero,,South,40.6729,-74.21579,Private room,40,2,8,2022-08-08,0.3,5,284,2,
21108126,Certifiably Cozy!!! Only minutes from EWR!!!,68767728,Jose,,South,40.67931,-74.20104,Private room,46,1,214,2022-05-09,3.52,3,92,2,
715246942075625453,Cheerful 3 Bedroom in Maplewood,12611140,Aidan,,West,40.7280368,-74.2624761,Entire home/apt,176,4,0,,,1,196,0,
10364394,Mins to NYC/Hoboken/Jersey city/Private room/Q bed,53341963,Marlyne,,East,40.67254,-74.11093,Private room,60,14,21,2021-11-13,0.27,1,356,1,
18271629,private room,114683776,Isaac William & Paul,,South,40.67667,-74.22049,Private room,40,3,20,2022-05-06,0.44,3,33,6,
647047383658441872,Lovely modern fully furnished and equipped private,56095060,David,,East,40.67825,-74.11315,Entire home/apt,145,5,4,2022-08-01,1.24,3,263,4,
49505767,Cozy Apt near JC & NYC (10 mins to Staten Island/20 mins to Bklyn) • 5 mins to Cruise Port • Pet Friendly! • Private Parking,134602444,Jennifer,,East,40.68229,-74.10521,Entire home/apt,152,28,28,2022-09-13,1.73,2,101,19,
40325064,clean private bedroom/shared bathroom,308563234,Homero,,South,40.67309,-74.21598,Private room,40,1,3,2021-09-30,0.15,5,336,1,
53848278,Stylish Studio,129249008,Roma,,East,40.66544,-74.12366,Entire home/apt,73,1,6,2022-09-27,6,1,344,6,
35932623,Apt near NYC/NWK/Cruise,270269608,Alisha,,East,40.6583,-74.12674,Entire home/apt,87,1,205,2022-09-18,5.18,2,166,66,
667189221609004150,Cozy and Beautiful Room,467333288,Anaissa,,South,40.6900624,-74.2332707,Private room,75,1,2,2022-09-18,2,1,359,2,
23812937,Comfy Queen Bedrm1 W/HUGE Liv Rm & Kitchen,40708138,Patrick,,South,40.72528,-74.22181,Private room,46,3,94,2022-09-06,1.76,6,348,20,
564418033884935532,The Hideout - 2bdrm w/ Free Parking - Close to NYC,73029961,Antoinette,,North,40.79011,-74.1932,Entire home/apt,165,2,23,2022-09-24,3.45,1,314,23,
35496536,♥Room#1 Near NYC/EWR airport/Jersey Gardens Outlet,266270739,Lucas And Lais,,South,40.69709,-74.22923,Private room,51,1,68,2022-08-24,1.71,8,86,23,
51815002,♥️Room#2♥️ Near NYC/EWR airport/Best Outlet Mall,266270739,Lucas And Lais,,South,40.69827,-74.23021,Private room,43,1,24,2022-09-12,1.84,8,362,23,
34694574,Lovely 1- Bedroom Apartment with Free Parking,49810420,Khloe,,South,40.67373,-74.21464,Entire home/apt,85,2,13,2022-09-04,1.76,1,238,13,
18311331,PRIvATE Bedroom close to NYCity & NJ EWR airport,121252500,Perfeito,,South,40.67752,-74.19962,Private room,42,1,76,2022-06-17,1.15,6,239,15,
51041781,Delightful well located one bedroom Attic,405134064,Stephanie,,South,40.68054,-74.19964,Entire home/apt,120,1,23,2022-09-04,1.57,1,331,21,
33531286,1 Bed Apt_No Kitchen_ 6 mins EWR /NJT_Elizabeth NJ,222625576,Farid,,South,40.66789,-74.20779,Entire home/apt,51,1,69,2020-03-15,1.65,1,25,0,
677014217707902887,Luxury 1- bedroom rental unit in Bayonne,471023163,Massama,,East,40.6635894,-74.1210368,Entire home/apt,160,1,5,2022-09-25,2.68,1,357,5,
12863573,Private Studio Near NYC/EWR,40071986,Christian,,South,40.67855,-74.20033,Private room,57,1,169,2018-07-31,2.17,15,270,0,
696958008626462521,NEW! Updated Pet-Friendly Townhome ~ 11 Mi to NYC!,121680792,Evolve,,East,40.6586,-74.12368,Entire home/apt,125,2,3,2022-09-19,2.81,5,356,3,
8755269,NEW LUXURIOUS 2BR 1Bath EWR AIRPORT,45219081,Din,,South,40.6759,-74.21027,Entire home/apt,599,1,1,2015-10-12,0.01,2,364,0,
20411544,Private large Suite w/bath close to NYCity / EWR,121252500,Perfeito,,South,40.6776,-74.19783,Private room,57,1,18,2022-06-19,1.25,6,240,13,
23944096,"Bright Queen Bedrm3 W/ PRIVATE Bath, FREE PARKING",40708138,Patrick,,South,40.72533,-74.22362,Private room,51,3,131,2022-09-23,2.45,6,346,32,
29663725,"LILY ROOM BEST DEAL FOR YOU
NEAR MANHATTAN with TV",216631614,Sam,,South,40.71397,-74.23781,Private room,52,1,131,2022-08-19,2.76,25,152,22,
18311346,PRiVATE Bedroom close to NYCity & NJ EWR airport,121252500,Perfeito,,South,40.67894,-74.19943,Private room,40,1,58,2022-06-17,0.89,6,239,16,
16237279,"Bright Queen Bedrm6 W/ PRIVATE Bath, FREE PARKING",40708138,Patrick,,South,40.7251,-74.22329,Private room,56,3,197,2022-09-15,3.02,6,342,32,
714660933628908338,Lovely 2 bed condo with parking included for 1 car,175685709,Laurie,,East,40.6659601,-74.1260032,Entire home/apt,94,1,1,2022-09-16,1,2,357,1,
36940786,Your Home Away From Home,154321690,Lorna,,West,40.73678,-74.26424,Entire home/apt,50,2,14,2022-09-05,0.37,1,86,4,
10058582,Private Room Minutes from NYC/EWR,40071986,Christian,,South,40.67852,-74.20033,Private room,40,1,448,2020-06-02,5.43,15,178,0,
17826852,"30 Minutes to NYC 
Your Home Away From Home",1031251,Cheryl,,West,40.736,-74.26118,Entire home/apt,779,1,30,2022-07-25,0.46,3,289,5,
51965600,Private comfortable Suite w/bath near NYCity / EWR,121252500,Perfeito,,South,40.67756,-74.19997,Private room,52,1,9,2022-04-20,0.69,6,239,7,
50766562,JUMA  CHEERFUL  3 /1 bath GUEST house,407139876,Judy,,West,40.75116,-74.22299,Private room,76,1,3,2022-01-02,0.2,7,364,1,
40171854,The best house in the neighborhood come and see!!!,17658078,Richard,,South,40.73311,-74.21988,Private room,80,3,1,2022-06-21,0.3,1,365,1,
705704751452946325,Fountain Royale 4 in East Orange near EWR/NYC.,186704427,Fifertech Group,,West,40.75554,-74.21662,Private room,56,1,3,2022-09-18,3,17,361,3,
658370745744843078,beautiful home in Belleville,10704846,Maria,,North,40.78499,-74.17918,Shared room,60,1,0,,,1,364,0,
53042525,"Lovely one bedroom available in the heart of Bayonne. A walk away from the light rail that takes you to NYC. Safe and family friendly area, plenty of food venues and located in the midtown shopping district.",15280721,Peter,,East,40.66646,-74.11666,Entire home/apt,91,1,16,2022-04-30,1.74,1,37,16,
6261785,California East,32536546,Dr Alissa,,West,40.73512,-74.25215,Entire home/apt,99,5,52,2022-08-12,0.6,1,353,11,
643407761879590729,Brand New Decorative Studio Apt. in Bloomfield,419402023,Deyshawn,,North,40.78519,-74.19836,Entire home/apt,126,1,16,2022-09-25,4.85,2,316,16,
51438444,Elegance and Convenience,40071986,Christian,,South,40.6793,-74.20101,Private room,65,1,53,2022-09-10,3.82,15,362,36,
564435956230174106,"Bright, comfortable house 30 minutes from NYC",10212746,Kate,,West,40.75537,-74.25589,Entire home/apt,200,14,0,,,1,303,0,
10501838,Great Deal! Nice Room Near NYC/EWR,40071986,Christian,,South,40.67855,-74.20033,Private room,81,1,702,2022-07-29,8.6,15,359,64,
49481080,Good Vibes,369178662,Mo,,South,40.71547,-74.24555,Entire home/apt,171,1,37,2022-08-14,2.16,1,89,16,
42542758,Family Friendly Apartment Close to NYC!,77659205,Jose,,East,40.68095,-74.10863,Entire home/apt,110,5,50,2022-09-05,1.59,1,53,17,
582922076750991752,THE LUX @ RESIDENCE EMPIRE.(2 RMS) 10 MIN TO EWR✈️,235767017,Tinesha,,West,40.72235,-74.24818,Entire home/apt,105,1,2,2022-05-08,0.38,4,362,2,
18196867,"PR1VATE Bedroom close to NYCity & NJ EWR airport,",121252500,Perfeito,,South,40.67953,-74.19853,Private room,37,1,60,2022-06-12,0.92,6,239,12,
29591441,Beautiful 3 BR home. NYC 30 min and EWR 10 min,61948061,L. Theresa,,West,40.72762,-74.24568,Entire home/apt,207,1,147,2022-09-13,3.11,2,335,34,
